"Freshdesk","Freshdesk"
"Tickets","Tickets"
"Portal","Portal"
"Settings","Settings"
"Enabled","Enabled"
"Freshdesk domain:","Freshdesk domain:"
"Admin email:","Admin email:"
"Admin API Key:","Admin API Key:"
"Password:","Password:"
"Error Freshdesk domain","Error Freshdesk domain"
"Error Freshdesk username","Error Freshdesk username"
"Error Freshdesk password","Error Freshdesk password"
"Ticket was created","Ticket was created"
"Ticket wasn't created","Ticket wasn't created"
"Contact Us form ticket from %s","Contact Us form ticket from %s"
"Account","Account"
"Order Id Linking","Order Id Linking"
"Magento Order id linked to:","Magento Order id linked to:"
"Obtain your custom field name in Freshdesk that you want to correspond with your Magento order id and paste it here","Obtain your custom field name in Freshdesk that you want to correspond with your Magento order id and paste it here"
"If you haven't created an Order field yet, go to Freshdesk Ticket Fields to create one","If you haven't created an Order field yet, go to Freshdesk Ticket Fields to create one"
"Channels","Channels"
"Create tickets from Contact Us form:","Create tickets from Contact Us form:"
"Enabling this will automatically create a ticket when a form is submitted","Enabling this will automatically create a ticket when a form is submitted"
"Have a feedback widget on your website:","Have a feedback widget on your website:"
"Feedback widget label:","Feedback widget label:"
"Feedback widget background color:","Feedback widget background color:"
"Feedback widget position:","Feedback widget position:"
"Paste this code on each of the pages where you want it to appear. To customize your feedback widget, go to Freshdesk widget","Paste this code on each of the pages where you want it to appear. To customize your feedback widget, go to Freshdesk widget"
"Show Support Link in Magento footer:","Show Support Link in Magento footer:"
"This link will take users to your freshdesk support portal","This link will take users to your freshdesk support portal"
"Customer View","Customer View"
"Allow your customers to view their tickets:","Allow your customers to view their tickets:"
"If this is not selected, customers will only be able to create tickets through the Contact Us form of Feedback widget. To view their existing tickets, they will have to go to your freshdesk portal","If this is not selected, customers will only be able to create tickets through the Contact Us form of Feedback widget. To view their existing tickets, they will have to go to your freshdesk portal"
"My Tickets tab will be shown inside customer's My Account. Tickets can be viewed, replied and closed here:","My Tickets tab will be shown inside customer's My Account. Tickets can be viewed, replied and closed here:"
"Show customer's most recent tickets and their status in Account Dashboard:","Show customer's most recent tickets and their status in Account Dashboard:"
"Agent should have admin permissions in Freshdesk to access all ticket information","Agent should have admin permissions in Freshdesk to access all ticket information"
"To get your token, inside Freshdesk portal, click profile settings and copy ""Your API key""","To get your token, inside Freshdesk portal, click profile settings and copy ""Your API key"""
"Single Sign On","Single Sign On"
"Enable Single Sign On:","Enable Single Sign On:"
